/tmp/env/lib/python3.8/site-packages/wandb/sdk/lib/import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4. Use importlib.util.find_spec() instead.
  loader = importlib.find_loader(fullname, path)
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64
  logger.warn(
/tmp/env/lib/python3.8/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
SPS: 112
global_step=23364, episodic_return=[108.961136]
SPS: 112
SPS: 112
global_step=23568, episodic_return=[372.68936]
SPS: 112
global_step=23668, episodic_return=[173.8115]
SPS: 112
global_step=23782, episodic_return=[170.46472]
SPS: 112
SPS: 112
global_step=23912, episodic_return=[245.7694]
SPS: 112
global_step=24040, episodic_return=[228.59428]
SPS: 111
global_step=24170, episodic_return=[48.44798]
SPS: 111
SPS: 111
global_step=24326, episodic_return=[254.13023]
SPS: 111
SPS: 111
global_step=24596, episodic_return=[388.09073]
SPS: 111
global_step=24680, episodic_return=[19.7502]
SPS: 111
SPS: 111
global_step=24802, episodic_return=[7.4184656]
SPS: 111
global_step=24961, episodic_return=[14.699143]
SPS: 110
global_step=25063, episodic_return=[192.31657]
SPS: 110
SPS: 110
global_step=25208, episodic_return=[70.100105]
SPS: 110
SPS: 110
global_step=25416, episodic_return=[44.295284]
SPS: 110
SPS: 110
global_step=25652, episodic_return=[291.62082]
SPS: 110
global_step=25776, episodic_return=[220.81198]
SPS: 110
SPS: 110
global_step=25980, episodic_return=[280.79584]
SPS: 109
SPS: 109
SPS: 109
global_step=26285, episodic_return=[394.33136]
SPS: 109
SPS: 109
SPS: 109
global_step=26514, episodic_return=[412.95544]
SPS: 109
global_step=26642, episodic_return=[43.074657]
SPS: 109
SPS: 109
SPS: 109
global_step=26937, episodic_return=[402.3129]
SPS: 109
SPS: 108
global_step=27125, episodic_return=[359.13583]
SPS: 108
SPS: 108
global_step=27307, episodic_return=[363.71747]
SPS: 108
SPS: 108
global_step=27533, episodic_return=[394.11398]
SPS: 108
SPS: 108
global_step=27788, episodic_return=[407.5081]
SPS: 108
SPS: 108
global_step=27924, episodic_return=[247.23947]
SPS: 108
SPS: 108
SPS: 108
global_step=28228, episodic_return=[510.7126]
SPS: 107
global_step=28325, episodic_return=[43.53321]
SPS: 107
global_step=28468, episodic_return=[109.15286]
SPS: 107
SPS: 107
global_step=28630, episodic_return=[312.76654]
SPS: 107
SPS: 107
global_step=28840, episodic_return=[336.48474]
SPS: 107
global_step=28972, episodic_return=[263.6414]
SPS: 107
SPS: 107
global_step=29127, episodic_return=[326.94867]
SPS: 107
global_step=29285, episodic_return=[74.76951]
SPS: 107
global_step=29336, episodic_return=[17.036167]
SPS: 107
SPS: 107
SPS: 107
global_step=29603, episodic_return=[438.966]
SPS: 106
global_step=29794, episodic_return=[356.9759]
SPS: 106
SPS: 106
SPS: 106
global_step=30009, episodic_return=[373.37988]
SPS: 106
SPS: 106
